HugoSymbol	grch38RefSeq	grch38Isoform
BRAF	NM_004333.4	ENST00000646891
BRCA1	NM_007294.3	ENST00000357654
BRCA2	NM_000059.3	ENST00000380152
BRD2	NM_005104.4	ENST00000374825
BRD3	NM_007371	ENST00000303407
BRD4	NM_058243.2	ENST00000263377
BRD9	NM_023924.5	ENST00000467963
BRIP1	NM_032043.2	ENST00000259008
BRSK1	NM_032430	ENST00000309383
BTG1	NM_001731.2	ENST00000256015
BTG2	NM_006763	ENST00000290551
BTK	NM_000061.2	ENST00000308731
BUB1B	NM_001211.6	ENST00000287598
CACNA1D	NM_001128840	ENST00000350061
CAD	NM_001306079	ENST00000264705
CALR	NM_004343.3	ENST00000316448
CAMTA1	NM_015215.4	ENST00000303635
CANT1	NM_001159772	ENST00000302345
CARD11	NM_032415.4	ENST00000396946
CARM1	NM_199141.1	ENST00000327064
CARS1	NM_001014437.3	ENST00000380525
CASP8	NM_001080125.1	ENST00000358485
CASR	NM_000388.4	ENST00000639785
CAV1	NM_001753.5	ENST00000341049
CBFA2T3	NM_005187	ENST00000268679
CBFB	NM_022845.2	ENST00000412916
CBL	NM_005188.3	ENST00000264033
CBLB	NM_170662.5	ENST00000394030
CCAR1	NM_018237.4	ENST00000265872
CCN6	NM_198239.1	ENST00000368666
CCNB1IP1	NM_021178.5	ENST00000358932
CCNB3	NM_033031.2	ENST00000276014
CCND1	NM_053056.2	ENST00000227507
CCND2	NM_001759.3	ENST00000261254
CCND3	NM_001760.3	ENST00000372991
CCNE1	NM_001238.2	ENST00000262643
CCNQ	NM_152274.4	ENST00000576892
CD19	NM_001770	ENST00000538922
CD22	NM_001771	ENST00000085219
CD274	NM_014143.3	ENST00000381577
CD276	NM_001024736.1	ENST00000318443
CD28	NM_006139.3	ENST00000324106
CD58	NM_001779.2	ENST00000369489
CD70	NM_001252	ENST00000245903
CD74	NM_001025159	ENST00000009530
CD79A	NM_001783.3	ENST00000221972
CD79B	NM_001039933.1	ENST00000392795
CDC42	NM_001791.3	ENST00000344548
CDC73	NM_024529.4	ENST00000367435
CDH1	NM_004360.3	ENST00000261769
CDH11	NM_001797	ENST00000268603
CDH2	NM_001792	ENST00000269141
CDH4	NM_001794	ENST00000614565
CDK12	NM_016507.2	ENST00000447079
CDK4	NM_000075.3	ENST00000257904
CDK6	NM_001145306.1	ENST00000265734
CDK8	NM_001260.1	ENST00000381527
CDKN1A	NM_078467.2	ENST00000244741
CDKN1B	NM_004064.3	ENST00000228872
CDKN1C	NM_001122630.2	ENST00000440480
CDKN2A	NM_000077.4	ENST00000304494
CDKN2A (p14)	NM_058195.4	ENST00000579755
CDKN2B	NM_004936.3	ENST00000276925
CDKN2C	NM_078626.2	ENST00000262662
CEBPA	NM_004364.3	ENST00000498907
CENPA	NM_001809.3	ENST00000335756
CEP43	NM_007045.4	ENST00000366847
CHCHD7	NM_001011671.3	ENST00000355315
CHD2	NM_001271	ENST00000394196
CHD4	NM_001273	ENST00000544040
CHEK1	NM_001274.5	ENST00000428830
CHEK2	NM_007194.3	ENST00000404276
CHTF8	NM_001039690	ENST00000398235
CHUK	NM_001278.5	ENST00000370397
CIC	NM_015125.3	ENST00000575354
CIITA	NM_000246.3	ENST00000324288
CILK1	NM_014920.5	ENST00000676107
CLIP1	NM_001247997.2	ENST00000620786
CLTCL1	NM_007098	ENST00000427926
CMTR2	NM_001099642.1	ENST00000338099
CNTRL	NM_007018.6	ENST00000373855
COL1A1	NM_000088	ENST00000225964
COL2A1	NM_001844	ENST00000380518
COL5A1	NM_000093.5	ENST00000371817
COP1	NM_022457.5	ENST00000367669
CRBN	NM_016302.3	ENST00000231948
CREB1	NM_134442.3	ENST00000432329
CREB3L2	NM_194071.4	ENST00000330387
CREBBP	NM_004380.2	ENST00000262367
CREM	NM_183011.2	ENST00000685392
CRKL	NM_005207.3	ENST00000354336
CRLF2		ENST00000400841
CRTC1	NM_015321.3	ENST00000321949
